,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,S1,S2,S3,S4,S5,S6,S7,u1,u2,u3,u4,u5,u6,LOC_SHO_N,LOC_REG_N,LOC_REG_CMN
2025-02-05,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,,
2025-02-06,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,LOCUM,
2025-02-07,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,,
2025-02-08,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,,
2025-02-09,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-10,OFF,OFF,OFF,OFF,OFF,CMN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-11,OFF,OFF,OFF,OFF,CMN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-12,OFF,CMN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-13,CMN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-14,OFF,OFF,OFF,CMN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-15,OFF,OFF,OFF,OFF,OFF,OFF,CMN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-16,OFF,OFF,CMN,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-17,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,LOCUM,LOCUM,
2025-02-18,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,N,OFF,OFF,OFF,N,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,,
